Player,Team (Bye),WR,Overall,CBS,Sleeper,RTSports,AVG,RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected)
Joshua Palmer,BUF (7),74,191,,72.0,72.0,72.0,42.0,587.8,3.5,0.0,0.5,0.0,0.1,79.8
Alec Pierce,IND (11),75,203,,74.0,74.0,74.0,29.3,529.2,3.3,0.0,0.0,0.0,0.1,72.6
Pat Bryant,DEN (12),76,217,,76.0,77.0,76.5,30.7,375.6,2.6,0.0,0.0,0.0,0.1,52.7
Jalen Royals,KC (10),77,225,,78.0,79.0,78.5,15.7,188.1,1.4,0.0,2.5,0.0,0.0,27.4
Jaylin Noel,HOU (6),78,229,,77.0,82.0,79.5,27.2,326.9,2.3,0.0,13.0,0.0,0.1,47.6
Darius Slayton,NYG (14),79,246,,87.0,78.0,82.5,34.1,510.8,2.4,1.4,6.1,0.0,0.2,66.1
Dyami Brown,JAC (8),80,245,,85.0,81.0,83.0,39.4,502.3,2.8,0.7,6.8,0.0,0.5,66.8
Michael Wilson,ARI (8),81,241,,79.0,89.0,84.0,43.8,525.0,3.9,1.9,8.9,0.1,0.5,76.4
Dont'e Thornton Jr.,LV (8),82,247,,94.0,75.0,84.5,29.1,393.3,2.3,0.0,3.0,0.0,0.1,53.0
Tyler Lockett,TEN (10),84,258,,80.0,94.0,87.0,49.6,578.8,3.5,0.0,0.0,0.0,0.1,78.5
Isaac TeSlaa,DET (8),85,271,,91.0,83.0,87.0,10.7,155.2,1.1,0.0,0.0,0.0,0.0,22.3
Dontayvion Wicks,GB (5),86,265,,82.0,97.0,89.5,27.5,346.4,3.0,0.0,1.3,0.0,0.0,52.8
Ray-Ray McCloud III,ATL (5),87,280,,,76.0,76.0,40.0,431.0,2.3,7.8,53.1,0.2,1.2,60.5
Adonai Mitchell,IND (11),88,270,,81.0,100.0,90.5,26.6,368.6,2.3,2.5,11.5,0.1,0.2,51.9
Elic Ayomanor,TEN (10),89,268,,83.0,98.0,90.5,28.6,336.3,2.2,0.0,7.5,0.0,0.1,47.4
Tory Horton,SEA (8),90,286,,92.0,92.0,92.0,33.5,426.7,2.1,1.0,8.7,0.0,0.7,54.4
Jalen Nailor,MIN (6),91,289,,,80.0,80.0,27.9,367.8,3.4,1.8,4.1,0.0,0.4,56.9
Kayshon Boutte,NE (14),92,294,,99.0,87.0,93.0,22.5,301.5,2.0,0.0,0.0,0.0,0.0,41.9
Luke McCaffrey,WAS (12),93,298,,,84.0,84.0,19.4,203.2,1.5,0.0,1.0,0.0,0.1,29.0
Jalen Coker,CAR (14),94,283,,84.0,,84.0,32.9,428.7,2.1,0.0,2.3,0.0,0.1,55.5
Troy Franklin,DEN (12),95,306,,101.0,88.0,94.5,27.2,342.5,2.7,1.1,5.8,0.0,0.1,50.9
