Player,Team,(Bye),RB,Overall,CBS,Sleeper,RTSports,AVG,RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,ATT PER GAME,YBCON PER GAME,YACON PER GAME,BRKTKL PER GAME,TK LOSS PER GAME,TK LOSS YDS PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,30+ YDS PER GAME,40+ YDS PER GAME,50+ YDS PER GAME,TGT PER GAME,RZ TGT PER GAME,TOTAL_ATT,TOTAL_YBCON,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TK_LOSS,TOTAL_TK_LOSS_YDS,TOTAL_10YDS,TOTAL_20YDS,TOTAL_30YDS,TOTAL_40YDS,TOTAL_50YDS,TOTAL_TGT,TOTAL_RZ_TGT
Isaac Guerendo,SF,14,46,136,45.0,48.0,50.0,47.7,113.1,488.7,3.9,10.6,93.2,0.4,0.9,81.9,16.0,5.0,11.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,80.0,176.0,240.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0
Bhayshul Tuten,JAC,8,47,144,46.0,45.0,54.0,48.3,91.9,398.0,2.7,17.5,138.0,0.8,0.8,73.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jerome Ford,CLE,9,48,132,52.0,51.0,43.0,48.7,132.3,543.8,2.8,30.5,206.9,0.8,0.8,95.3,14.0,7.0,25.0,16.0,0.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,98.0,350.0,224.0,0.0,14.0,-28.0,14.0,0.0,0.0,0.0,0.0,42.0,0.0
Ray Davis,BUF,7,49,138,50.0,49.0,49.0,49.3,118.8,499.5,3.7,12.4,105.5,1.0,0.8,87.1,17.0,7.0,13.0,13.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,119.0,221.0,221.0,0.0,17.0,-17.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0
Nick Chubb,HOU,6,50,150,44.0,54.0,51.0,49.7,118.9,484.0,3.8,9.9,75.6,0.4,0.5,80.5,8.0,13.0,21.0,20.0,1.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,104.0,168.0,160.0,8.0,8.0,-16.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0
Trey Benson,ARI,8,51,135,53.0,50.0,47.0,50.0,130.6,576.0,3.9,13.7,104.6,0.4,0.9,92.5,13.0,5.0,12.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,156.0,130.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Rico Dowdle,CAR,14,52,142,62.0,44.0,55.0,53.7,107.3,459.1,2.6,20.9,143.0,1.1,0.8,80.9,16.0,15.0,36.0,32.0,1.0,1.0,-2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,240.0,576.0,512.0,16.0,16.0,-32.0,32.0,0.0,0.0,0.0,0.0,48.0,0.0
Dylan Sampson,CLE,9,53,154,56.0,53.0,52.0,53.7,118.7,480.9,2.7,23.3,177.4,0.9,0.8,85.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tyler Allgeier,ATL,5,54,147,58.0,52.0,53.0,54.3,119.8,549.7,3.3,12.7,92.2,0.3,0.8,84.3,17.0,8.0,17.0,21.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,136.0,289.0,357.0,0.0,17.0,-17.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0
Braelon Allen,NYJ,9,55,148,61.0,55.0,48.0,54.7,105.0,404.9,2.7,16.6,123.1,0.8,0.4,73.3,17.0,5.0,8.0,11.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,85.0,136.0,187.0,0.0,0.0,-17.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0
